fine_label	utterance
flight	hi i 'd like a flight from tampa to montreal
flight	list all flights that leave from baltimore or denver or pittsburgh and arrive in philadelphia
flight	show me flights from denver to philadelphia
flight	i would like a nonstop flight from new york to las vegas on march second
flight	i want to fly from boston to atlanta i would like the cheapest fare please
flight	flights from newark to boston
airfare	what 's the cost of a first class fare from philadelphia to san francisco
flight	is there a round trip flight from baltimore to denver connecting in dallas
flight	give me the first flight from boston to atlanta
flight	please give me all the flights from long beach california to memphis tennessee
flight	i 'm interested in flying from atlanta to boston i 'd like to fly during breakfast
flight	what flights fly from denver to san francisco on monday tuesday wednesday thursday and friday
flight	i 'd like flight information between boston and washington september third
flight	find travel arrangements for a round trip flight from dallas to pittsburgh after 8 pm
airline	of all airlines which airline has the most arrivals in atlanta
airfare	what does it cost to fly from boston to oakland on united airlines
flight	baltimore to philadelphia wednesday
airline	show me the airlines for flights to or from love field
ground_service	what types of ground transportation are there to san francisco airport
flight	flights from denver to chicago on sunday on continental
airline	what is airline dl
airline	show me the airlines that use love field
flight	what 's the earliest flight from san jose to houston
flight	show me all the flights arriving in charlotte around 5 pm next monday please
abbreviation	what does mco mean
quantity	how many fare codes belong to economy class
flight	i 'm looking for flights from pittsburgh to philadelphia leaving before 9 am
airfare	how much does it cost to fly from boston to atlanta
flight	atlanta to pittsburgh
flight	show me all flights from baltimore to dallas
airfare	round trip fares new york to san jose
flight	list all arrivals from any airport to baltimore on thursday morning arriving before 9 am
airfare	what 's the price of the least expensive first class round trip ticket on us air from cleveland to miami
flight	would you be able to put me on a flight with delta leaving the morning of august twenty seventh from baltimore to san francisco
flight	what flights go from atlanta to washington dc on thursday
city	show me the cities served by nationair
flight	show me the flights from oakland to washington
flight	all flights from boston to washington
airline	which airlines fly from boston to washington dc but stopover in some other city
flight	i would like to fly from boston to baltimore in the afternoon what flights are there
flight	find a flight from washington dc to san francisco on tuesday
airfare	what are the coach fares for flights from newark to la leaving after 3 pm
flight	morning flight from boston to philadelphia
abbreviation	what is the code for business class
airfare	show me the first class fares from baltimore to dallas
flight	list the flights on sunday afternoon from oakland to dallas
flight	i would like to book a flight on us air first class from cleveland to miami on february twenty fourth
flight	the earliest flight from boston to san francisco please that will be serving a meal
flight	flight from milwaukee to chicago
ground_service	what ground transportation is available from the denver airport to downtown denver
flight	all the flights from baltimore to san francisco
flight	may i have a listing of flights from minneapolis to long beach california on wednesday
flight	can you tell me the cheapest flight between boston and san francisco
flight	is it possible for me to fly from baltimore to san francisco
unk	on april twenty would like to fly from denver to pittsburgh at about 8 o'clock in the morning
flight	okay i 'd like to fly from denver to pittsburgh
flight	show flights between toronto and san francisco
flight	show departures and arrivals in atlanta for american airlines
flight	what is the latest flight from philadelphia to boston
unk	what kind of plane flies from boston to pittsburgh after noon
flight	what 're the cheapest flights from new york to miami
flight	what is your earliest flight from boston to washington on august twenty seventh
flight	do you have flights from st. petersburg to toronto on monday
airfare	show me the price of all flights from atlanta to washington dc
unk	can i go from boston to san francisco with a stopover in denver
airfare	i would like to find the cheapest one way fare from boston to oakland
flight	give me the flights from milwaukee to st. louis leaving sunday morning
flight	i need a flight from san francisco to pittsburgh and then pittsburgh to new york and new york to san francisco
flight	okay what flights are there us air from orlando to cleveland leaving in the afternoon
flight	what are the flights from boston to atlanta
flight	find me the earliest flight from boston to atlanta
flight	i need a flight from philadelphia to denver
flight	find a flight from san francisco to boston on wednesday
flight	now list for me only the united flights that flight from oakland to boston
flight	is there a direct flight from denver to pittsburgh in the morning of august thirty first that is nonstop
flight	what are the flights from philadelphia to dallas on october first 1991
flight	are there any direct flights from atlanta to philadelphia arriving in philadelphia about 12 noon
flight	show me a list of flights from san francisco to boston for august thirtieth
flight	what is the earliest flight from boston that will arrive in denver
flight	what is the first flight after 12 noon from washington for denver
flight	what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm
flight	what is the latest flight i can take from washington to san francisco
flight	i want a flight on twa from boston to san francisco
city	where is general mitchell international located
flight	what flights leave atlanta at about 3 in the afternoon and arrive in san francisco
flight	give me flights from pittsburgh to baltimore
flight	show me the flights from miami to denver
flight	list nonstop flights from baltimore washington to oakland that arrive between 445 and 515 pm
flight	please list the flights for me that leave dallas on tuesday morning and arrive in atlanta
flight	i need a flight from baltimore to seattle that stops in minneapolis
unk	what flights are there from newark to tampa
flight	tuesday morning flights between charlotte and baltimore
airfare	how much is a flight from washington to montreal
flight	i 'd like to arrange a trip to baltimore on january first
flight	i would like to fly from denver to boston on wednesday the twenty first
flight	show me all direct flights from dallas fort worth to either san francisco or oakland
flight	show nonstop flights from new york to miami on a tuesday which cost less than 466 dollars one way
flight	list flights between denver and pittsburgh
flight	please list all the flights from boston to san francisco leaving before 10 am
unk	which are the least expensive flights between dallas and baltimore on july nineteenth
flight	what flights do you have between oakland and boston with a stopover in dallas fort worth
flight	i want to travel from philadelphia to san francisco with a stopover in dallas
flight	please find a flight on delta from philadelphia to san francisco and give me the flight numbers
unk	give me a list of flights between pittsburgh and baltimore
unk	what is the thrift economy flight fare from washington to san francisco
flight	show me the morning flights from boston to philadelphia
flight	give me a flight from tampa to charlotte on sunday
flight	what 's the latest flight i can get from dallas to boston
flight	give me flights from pittsburgh to baltimore
flight	what flights from st. paul to kansas city on friday with supper served
flight	i would like a flight from philadelphia to san francisco but i would like to stop in dallas
flight	find me the latest flight leaving atlanta august seventh and arriving in denver
unk	what are your flights from denver to baltimore
flight	show me flights from new york to miami
unk	please show me flights from pittsburgh to boston on saturday morning after 8 am
flight	please list any flights from oakland california to philadelphia on tuesday
unk	i need a flight from kansas city to chicago next wednesday that reaches chicago around 7 in the evening
flight	i 'd like the earliest flight from dallas to boston
airfare	i am looking for the cheapest fare from indianapolis to orlando on december twenty seventh
flight	do you have any flights from denver to baltimore via dallas
airline	show me the airlines that fly from toronto to boston
flight	what flights are there from san francisco to philadelphia daily with economy class
flight	show me the flights before 8 am on august second from boston to denver on delta
flight	show me all flights from philadelphia to san francisco with one stop in dallas
flight	show me all flights from san francisco to pittsburgh on friday
flight	i am interested in booking an early morning flight from dallas into houston on february twenty second and returning late in the evening of february twenty second
flight	first class american flight from philadelphia to dallas on wednesday
flight	list all the flights from atlanta to philadelphia on august the first
airline	what airlines fly from philadelphia to san francisco
flight	show me the flights from boston to pittsburgh
flight	what are the flights from boston to baltimore
flight	what 's the first flight from dallas to houston
airline	show me airlines between boston and san francisco
flight	i 'd like a list of all the flights from san francisco to pittsburgh on sunday please
flight	i need to know if there are any direct flights from st. petersburg florida to tacoma washington leaving preferably tomorrow morning
flight	what is the first flight from boston to atlanta
flight	show me a list of flights on american airlines from boston to dc on july twenty second
flight	from philadelphia to toronto
flight	please give me flights from atlanta to boston on wednesday afternoon and thursday morning
flight	list least expensive flight from dallas to baltimore
flight	show me flights from philadelphia to san francisco on wednesdays
flight	show me flights from dallas to baltimore
flight	flights from san francisco august one
flight	what flights go to san francisco from boston
flight	show me non first class flights from baltimore to dallas
flight	i want an early morning flight between philadelphia and pittsburgh on tuesday morning
flight+airfare	all flights and fares from atlanta to dallas round trip after 12 pm less than 1100 dollars
flight	what are the cheapest flights from pittsburgh to atlanta
flight	show me all the united airlines flights leaving dallas
unk	show me the flights going from pittsburgh to san francisco on monday
airfare	what are the first class fares from boston to pittsburgh on thursday
flight	show me flights from boston to baltimore coach on wednesday about 12 noon
abbreviation	what does dfw mean
abbreviation	what does fn under fare code mean
flight	list the flight from philadelphia to san francisco on american airlines
airfare	i 'd like to see all the economy fares from baltimore to philadelphia
flight_time	what is the schedule for flights between pittsburgh and boston on the evening of july ninth
flight	list all day time flights from pittsburgh to boston
flight	are there any flights before 12 noon on june fifteenth from long beach to columbus
flight	i want to fly philadelphia to dallas on july eighth
flight	which delta flights fly from boston to philadelphia
flight	show me the flights arriving at love field
flight	i 'm trying to fly from denver to boston and i want a flight that serves a meal
flight	please show me flights from atlanta to oakland california on thursday after 1600 hours
flight	i would like to travel from boston to denver early in the morning
flight	can you tell me about flights from san jose to nashville on saturday afternoon
abbreviation	what does us mean
flight	find the latest flight from san francisco to atlanta that serves a meal
flight	can you tell me which flights go from memphis to tacoma and make a stop in los angeles
airport	what 's the airport at orlando
flight	philadelphia to san francisco monday
flight	give me the american airlines flights from phoenix to milwaukee on wednesday
flight	show me the cheapest flight from pittsburgh to atlanta on wednesday which leaves before noon and serves breakfast
flight	i want a flight from montreal quebec to san diego california that leaves sunday
airline	which airlines fly from boston to san francisco
flight	what are the flights on tuesday october first from atlanta to baltimore
flight	nonstop flights from new york city to las vegas on sunday
unk	show me the united flights from bwi to denver
flight	what flight leaves dallas for atlanta on august twenty seventh in the evening
flight	i 'd like to find the earliest flight possible from san francisco to atlanta
flight	please list all northwest flights into denver
flight	display all flights leaving from toronto to san diego on us air laying over in washington dc
flight	flights from st. paul to houston
quantity	how many nonstop flights going from dallas to oakland july twenty seventh
airline	what airlines fly between boston and san francisco and stop in denver
flight	now i need a one way flight from pittsburgh to denver
flight	what is the latest flight from washington dc to denver
flight	i 'd like a flight on united airlines from dallas to san francisco that leaves after 815 am
flight	what are my choices of flights from las vegas to new york
flight	what is the latest flight on wednesday going from atlanta to washington dc
flight	list all flights from atlanta to baltimore thursday morning
airline	what is airline nw
airline	does any airline have an early afternoon flight from boston to pittsburgh
airline	which airlines fly between boston and pittsburgh
flight	flights from las vegas to montreal
flight	please list flights between denver and boston
flight	what first class flights are available on july twenty fifth 1991 from denver to baltimore
flight	is there a round trip flight from baltimore to dallas connecting in denver
flight	i need a flight from long beach to st. louis stopping in dallas the flight should also serve lunch
unk	okay show me all the flights to baltimore
flight	what is the cheapest flight from long beach to memphis
flight	i 'm interested in round trip flights from boston to washington
flight	what is the cheapest flight from denver to pittsburgh
flight+airfare	all flights and fares from dallas
flight	list flights from san jose to houston next sunday
flight	i wish to book a flight from pittsburgh to atlanta coach discount fare
flight	can you give me a list of the flights from atlanta to boston
flight	what is the latest flight from boston to denver that serves a meal
flight	i 'd like to fly between boston and san francisco
unk	what does fare code qo mean
flight	please list the shortest one stop flight from ontario california to orlando florida
unk	i 'd like to see all flights from pittsburgh to philadelphia again
flight	show me flights from san francisco to seattle
flight	flights from pittsburgh to baltimore arriving between 4 and 5 pm
flight	list all daily flights between boston and oakland and between oakland and boston using delta airlines
unk	can you show me the available flights from baltimore to dallas with economy fares
flight	how can i go from the san francisco airport to downtown san francisco
ground_service	ground transportation in las vegas
flight_time	show me times for coach flights between boston and baltimore on wednesday
unk	give me the continental flights from chicago to seattle on saturday morning
flight	show me the cheapest flights round trip from new york to san jose arriving in san jose before 7 pm
airfare	show me the cheapest fare from dallas to baltimore
flight	list the flights that leave from philadelphia to atlanta early thursday morning before 8 am
airfare	find me the cheapest one way fare i can get from boston to denver
aircraft	what type of plane is an m80
flight	i need a list of late afternoon flights from st. louis to chicago
flight	list all flights please from washington to san francisco
flight	which united airlines flights go through denver
flight	list all nonstop flights on sunday from tampa to charlotte
flight	what do you have going from atlanta to philadelphia serving breakfast
flight	okay that sounds great let 's go from atlanta on april twenty one in the morning to dallas least expensive fare one way
flight	what flights leave phoenix on wednesday evening and arrive in milwaukee
ground_service	what ground transportation is available at the atlanta airport
flight	what is united airlines service between boston and san francisco
flight	display all the flights from baltimore to dallas which leave after 4 pm
airfare	i need a ticket from los angeles to charlotte that leaves early in the morning
flight	flights from montreal and phoenix to las vegas
flight	does twa have a flight from indianapolis to houston arriving at 11 am
flight	on continental flight 1765 from boston to san francisco what type of meal is served
flight	i 'd like to fly from boston to san francisco
airfare	what is the cheapest one way ticket from denver to pittsburgh
unk	find me a flight from boston to san francisco with layover in denver on united
flight	show all monday flights from san francisco to pittsburgh
aircraft	show me the aircraft that canadian airlines uses
flight	what flights does delta have from denver to dallas after 5
flight	show me all flights from indianapolis
flight	show me flights from milwaukee to orlando on wednesday night
airfare	what is the coach fare between boston and atlanta on delta
flight	could you find me a flight from boston to san francisco that stops in denver
flight	list round trip flights between boston and oakland using twa
flight	i 'd like flight information from dallas fort worth to boston on tuesday
flight	what am flights are available from pittsburgh to boston
flight	show me flights from boston to san francisco
flight	what is the last flight to atlanta from baltimore
flight	list all flights departing from general mitchell
flight	does eastern have an early afternoon flight from boston to san francisco
flight	all flights from charlotte to anywhere on us air
airline	which airline serves denver pittsburgh and atlanta
flight	dallas to baltimore
flight	i would like to fly to san francisco early in the day
flight	find the cheapest flight from denver to atlanta with a stopover in pittsburgh
airline	which airlines are represented in the database
flight	what flights go from san francisco to dallas
flight	what are the flights from cleveland to indianapolis on wednesday may twelfth on either twa delta or continental
flight	what flights do you have leaving denver and arriving in san francisco
flight	what is the cheapest flight from denver to oakland
flight	find a nonstop flight between denver and oakland leaving in the afternoon and arriving near 5 pm
flight	i would like to fly to denver for under 500 dollars please show me the airfares between pittsburgh and denver
flight	give me the flights from pittsburgh to los angeles thursday evening
quantity	how many flights does each airline have with booking class k
quantity	how many airlines have flights with service class yn
airfare	please give me the prices for all flights from philadelphia to denver airport next sunday
ground_service	is there limo service at pittsburgh airport
flight	i want to fly from atlanta to philadelphia
flight	i want to arrive in detroit around 6 pm and i 'm leaving from chicago
flight	are there any flights from denver to pittsburgh connecting in atlanta
flight	nonstop flights denver to boston
flight	show me one way flights from milwaukee to orlando wednesday
unk	show me flights from san francisco to dallas please
flight	what flights from any city land at general mitchell international
flight	i live in denver and i 'd like to make a trip to pittsburgh
restriction	what 's restriction ap68
flight	show me the flights from boston to baltimore
flight	what flights leave from atlanta to boston on june twenty ninth in the afternoon
flight	i 'd like to fly from boston to oakland through denver
flight	i 'm interested in a flight from pittsburgh to atlanta
flight	what is the last flight from washington to boston
flight	i would like a flight from baltimore to san francisco on twa with a stop in denver
flight	what flights do you have from boston to pittsburgh on wednesday of next week after 6 pm
flight	does american airlines fly from atlanta to philadelphia
flight	from washington to atlanta
flight	what nonstop flights are available from oakland to pittsburgh
flight	show me the flights from denver to philadelphia and the flights from pittsburgh to philadelphia
flight	list nonstop flights from san francisco to oakland that depart in the afternoon
airfare	what is the cheapest fare that i can get between philadelphia and san francisco
flight	i would like information on flights leaving atlanta in the afternoon arriving in dallas
city	what city is mco
city	where is lester pearson airport
flight	what is the earliest arrival in salt lake city of a flight from toronto
flight	do you have a flight from atlanta to boston that will stop in washington
flight	also show me flights from san francisco to pittsburgh on tuesday
flight	i 'd like a flight tomorrow from san diego to toronto
flight	hi i 'd like to fly from columbus to phoenix and make a stop in cincinnati along the way
flight	show all nonstop flights from boston to atlanta
aircraft	what kind of airplane goes from boston to san francisco before noon
airfare	how much does it cost to fly on delta from dallas to baltimore
aircraft	what type of aircraft flies from pittsburgh to baltimore
unk	what flights are available from atlanta to washington dc on wednesday
aircraft+flight+flight_no	i want to fly from detroit to st. petersburg on northwest airlines and leave around 9 am tell me what aircraft are used by this flight and tell me the flight number
flight	list the flights from toronto to salt lake city
flight	newark to cleveland
flight	on a breakfast flight from philadelphia to dallas via atlanta
airline	please show me airlines with flights from denver to philadelphia
unk	i would like the flight number and the time for the cheapest fare that is the least expensive first class fare from san francisco to pittsburgh leaving after 8 pm monday night
flight	philadelphia to dallas saturday
flight	what are the classes of service on lufthansa
flight	what flights are available from atlanta to oakland with one way economy fares
flight	am flights from atlanta to philadelphia
abbreviation	what is the meaning of restriction ap80
flight	show me all the flights arriving around noon in washington dc from denver
flight	what flights are there from dallas to pittsburgh on monday morning
flight	i need a cheap flight from baltimore to san francisco
unk	from baltimore to san francisco
flight	what flights are available saturday to san francisco from dallas
airfare	what is the cost of united airlines flight 415 from chicago to kansas city thursday night
flight	flights from pittsburgh to baltimore between 10 am and 2 pm
flight	list all flights on continental from denver to chicago on sunday which depart after 934 pm
flight	is there an atlanta flight to denver connecting
flight	please give me flight schedules from pittsburgh to philadelphia
flight	show me all flights arriving to denver from boston
unk	show me the type of aircraft that cp uses
unk	list daily flights from oakland to boston using united airlines
flight	what nonstop flights between boston and washington arrive after 4 o'clock pm
airfare	what are the most expensive first class tickets between boston and san francisco
unk	what is the first flight from boston to dallas
unk	what is the price of a first class ticket from milwaukee to san francisco round trip
flight	show me the evening flights from baltimore to atlanta
flight	tell me about flights from toronto to salt lake city leaving toronto between 530 and 7 pm
flight	please show me the philadelphia to denver saturday flights again
flight	show me all the flights on delta airlines and twa that go to atlanta in the morning
flight	what is the earliest flight leaving washington to san francisco
flight	i live in montreal and i want to travel to chicago then indianapolis and then return home
airline	what airlines fly from dallas to baltimore
flight	do you have an early morning direct flight from philadelphia to pittsburgh
flight	what is the last flight from boston to atlanta
airfare	what are the fares between new york and la on monday morning
flight	newark to minneapolis on sunday
airfare	what are the lowest one way fares from atlanta to denver
flight	i need a united airlines flight from denver to baltimore on saturday
airfare	find the cheapest one way fare from boston to oakland
unk	what is ewr
flight	show flights from san francisco to denver on a thursday
abbreviation	what does fare code y mean
flight	flights from denver to westchester county new york weekdays
flight	is breakfast served on flight ua 343 from boston to denver coach class
flight	daily flights from newark to cleveland departing 5 o'clock pm
flight	i would like to fly from atlanta to philadelphia
flight	i 'd like to book the cheapest one way flight from pittsburgh to atlanta on july twentieth
flight	show me flights from pittsburgh to san francisco on sunday
unk	i want to go from baltimore to san francisco with a stopover in denver
flight	flight from dallas to boston tomorrow
flight	does delta have an early afternoon flight from boston to san francisco
airfare	show me the lowest fare for a round trip flight from baltimore to dallas
flight	a breakfast flight from denver to san francisco please
flight	are there any flights from boston to san francisco which stop in denver
flight	chicago to san francisco on continental
airline	what airlines fly from new york to milwaukee to los angeles
flight	flights from atlanta to dallas in the afternoon
airline	can you list all the airlines that have flights from boston to san francisco
flight	are there delta flights leaving atlanta
unk	what flights from las vegas to san diego
flight	show flights first class on american from philadelphia to dallas fort worth
flight	show me all flights from san francisco to pittsburgh on a monday
flight	show me flights from denver to boston on thursday
airline	show all airlines flying from pittsburgh to san francisco
flight	i want to travel from washington dc to philadelphia on tuesday morning
flight	what is the earliest flight between boston and washington
unk	what are the flights from orlando to kansas city
flight	i need information for flights leaving baltimore and arriving in atlanta
flight	what flights are there tomorrow from tacoma to san jose
flight	show me the latest nonstop flight from denver to washington dc
flight	i want a direct flight from oakland to boston that leaves on a wednesday
abbreviation	what fare codes cover flights from philadelphia to san francisco
abbreviation	what is fare code h
flight	show me the flights from oakland to denver
airfare	what is the cheapest round trip fare from atlanta to pittsburgh
airfare	round trip fares from denver to philadelphia less than 1000 dollars
flight	flight on monday from philadelphia to oakland california early morning
flight	tell me about flights from salt lake city to st. petersburg
flight	i want to fly from baltimore to philadelphia
flight	i would like a flight from pittsburgh to san francisco on august twentieth
flight	does delta airlines fly from boston to washington dc
flight	what is the earliest flight from boston to san francisco on american airlines
flight	i would like to fly from pittsburgh to atlanta on us air
meal	do i get a meal on the atlanta to bwi flight eastern 210
abbreviation	what is bna
flight	i 'm interested in flights from denver to pittsburgh
flight	what are the least expensive flights from denver to atlanta
unk	show me flights from baltimore to dallas
flight	information on flights from pittsburgh to philadelphia
flight	i 'd like to book an flight on american airlines from boston to san francisco with one stop in pittsburgh
flight	give me the flights from phoenix to milwaukee on wednesday
flight	i 'd like flights on american from philadelphia to dallas arriving before 1145 am
ground_service	what ground transportation is available from the pittsburgh airport
flight	list all united flights from philadelphia to san francisco
airline	could you please tell me the airlines that fly from toronto to san diego
airfare	lowest fare from san francisco to los angeles
flight	i would like to fly from boston to baltimore
flight	show me the flights from denver to pittsburgh and atlanta
flight	give me a list of flights between denver and oakland
flight	show me all flights from san francisco to boston philadelphia or baltimore
capacity	how many passengers can a boeing 737 hold
flight	flights from ontario to orlando
flight	show me the flights from indianapolis to montreal
flight	show me the flights on tuesday morning from charlotte to baltimore
unk	what 's the smallest plane flying from pittsburgh to baltimore on december seventeenth
flight	may i have a list of flights going from boston to denver on the twenty ninth of july
airline	please list all airline flights between denver and boston
flight	please show me any united flights including connections between boston and san francisco at 5 in the evening
flight	show me all the flights from denver and all the flights from miami that arrive at baltimore around noon
flight	what flights leave after 7 pm from pittsburgh to philadelphia
ground_service	ground transportation san francisco
flight	find me the earliest flight from boston to atlanta on any day of the week
flight	i would like to know the latest flight on wednesday you have leaving from oakland to salt lake city which offers a meal
flight	do you have a 9 o'clock flight from boston to philadelphia
restriction	what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars
unk	on august thirtieth i would like a flight from denver to san francisco in the early am
ground_service	show me ground transportation in westchester county
flight	show me all the flights out of boston today
airfare	how much will it cost taking coach from orlando to indianapolis on december twenty ninth flying us air 311
flight	show me which flights from san francisco to pittsburgh on a monday are first class
flight	show me all flights from san francisco to la guardia nonstop
flight	list all flights from atlanta to dallas on friday
flight	may i have a listing of flights from milwaukee to tacoma washington departing in the evening
airfare	what is the least expensive one way ticket from atlanta to denver leaving on october twelfth
flight	i need information flight information for tuesday on a flight leaving baltimore bound for dallas
flight	flights from newark to cleveland daily 5 o'clock pm
flight	what flights go from pittsburgh to newark after 823 in the morning
flight	what flights are available from philadelphia to denver on sundays
flight	all flights to baltimore after 12 pm
flight	i would like a flight from philadelphia to dallas that makes a stop in atlanta
flight	what is your last trip on august twenty seventh from washington to boston
flight	show me all flights from pittsburgh to dallas
flight	what flights are there on saturdays from philadelphia to denver
airfare	i would like the cheapest one way fare from dallas to denver
airfare	round trip fares from baltimore to philadelphia under 1000 dollars
flight	philadelphia to san francisco with one stop in dallas please
flight	show me the flights from miami to san diego with one stop in denver
airfare	show me the fare for delta flight 296 from atlanta to philadelphia
flight	give me the flights from new york to las vegas and memphis to las vegas on sunday
flight	i would like to fly from boston to baltimore what time are the flights in the afternoon
flight	show first flight from boston to philadelphia
airfare	can you show me fares for december sixteenth from oakland to dallas one way only
flight	show flights from denver into san francisco
flight	thank you i also need to travel next wednesday evening from dallas to san francisco
flight	flight from nashville to cleveland
flight	i would like to find the least expensive flight from boston to denver
flight	show me all flights from montreal
unk	what is the cheapest fare from washington to san francisco
flight	i need information on flights leaving philadelphia on friday arriving in oakland california
flight	i 'd like a flight tomorrow late from nashville to houston with dinner please
flight	i 'd like to go from boston to atlanta sometime after 5 pm can you tell me the flights that could do that for me
flight	i 'm interested in flying from boston to atlanta
ground_service	what is the ground transportation available in denver
flight	list all the flights that arrive at general mitchell international from various cities
flight	what is the earliest flight from washington to san francisco on friday that serves breakfast
flight	what are my choices of flights to get from charlotte to minneapolis arriving about 7 pm in minneapolis
flight_time	what time are the flights leaving from denver to pittsburgh on july seventh
flight	show me flights from baltimore to dallas
flight	what flights from atlanta to toronto
abbreviation	what does fare code q mean
unk	last nonstop flight from los angeles to pittsburgh on monday night
airfare	what is the fare going from baltimore to boston one way on november seventh
flight	show me all the flights that arrive in baltimore from anywhere between 1850 and midnight
flight	san francisco to denver
flight	i want a flight from denver to pittsburgh then from pittsburgh to atlanta then from atlanta back to pittsburgh back to denver
flight	list all flights leaving on thursday morning from new york city to montreal
flight	show me the united flights which go from boston to washington dc
airfare	give me the least expensive first class round trip ticket on us air from cleveland to miami
flight	show me the flights from all airports to love field
flight	i 'm trying to find a flight from columbus to phoenix through cincinnati
flight	which united airlines flight flies from boston to san francisco and makes a stopover in philadelphia
flight	could you tell me about flights from philadelphia to dallas the flights should leave philadelphia in the morning
flight	i would like to fly from baltimore to san francisco on eastern airlines
flight	what are the cheapest one way flights from pittsburgh to atlanta
airfare	show fares and flights from denver to oakland
flight	list the flights from houston to st. paul
flight	what flights depart newark for tampa on friday
flight	show me all the available flights from baltimore to dallas with economy fares
flight	do any of the san francisco to boston flights leave on friday
airline	please show me airlines with flights from boston to denver
airfare	what is the lowest cost fare that delta has between boston and san francisco
airfare	dl 296 denver to philadelphia what is the fare
airfare	what is the lowest cost for a one way ticket from boston to washington
flight	what flights from kansas city to denver
flight	does united airline have any flights from dallas to san francisco
flight	do all the flights to oakland land at the same place
